Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
风扇,feng1shan4,electric fan,2,2.293176135,0.51761496,3.360573028,1.8751,5.8,3,4,10,NA,feng1,shan4,NA,21,25,NA,867.7127801,27.49201128,NA,1409.316233,1059.740446,NA,6.5,7,NA
风筝,feng1zheng5,kite,2,3.781920642,0.679602365,3.577780207,2.0212,7.428571429,2,4,12,NA,feng1,zheng1,NA,21,21,NA,867.7127801,6.976769742,NA,1409.316233,1330.082705,NA,6.5,7.5,NA
枫叶,feng1ye4,maple leaf,2,0.586943892,0.200561572,2.7692327,1.5051,9.5,0,8,5,NA,feng1,ye4,NA,21,4,NA,0.943824891,199.4746663,NA,1409.316233,510.1410537,NA,7.5,6.5,NA
蜂窝,feng1wo1,honeycomb,2,2.092068228,0.490249068,3.320728018,1.5315,NA,0,13,12,NA,feng1,wo1,NA,21,4,NA,29.14690026,34.82935846,NA,1409.316233,45.21950489,NA,7.5,7,NA
凤凰,feng4huang2,phoenix,2,7.375473245,0.923009356,3.867806782,2.4814,10.04761905,1,4,11,NA,feng4,huang2,NA,18,7,NA,50.40213281,6.232742422,NA,183.9604185,535.1924401,NA,8.5,8.5,NA
胡子,hu2zi5,beard,2,9.240953831,1.010340408,3.965722875,2.8965,8.5,5,9,3,NA,hu2,zi,NA,21,6,NA,164.7778335,3310.14391,NA,508.6388719,825.9382697,NA,7.5,6.5,NA
葫芦,hu2lu5,calabash,2,5.388963918,0.805430435,3.731541915,1.6435,8.45,3,12,7,NA,hu2,lu2,NA,21,15,NA,5.181955194,9.607774125,NA,508.6388719,1258.857226,NA,7.5,7.5,NA
湖泊,hu2po1,lake,2,5.28886496,0.798572269,3.723400505,1.4472,8.681818182,1,12,8,NA,hu2,po1,NA,21,16,NA,217.0938521,33.92791487,NA,508.6388719,494.6934051,NA,7.5,8,NA
蝴蝶,hu2die2,butterfly,2,5.837589249,0.834903008,3.766264538,2.5944,7.086956522,0,15,15,NA,hu2,die2,NA,21,5,NA,4.655888861,6.244851365,NA,508.6388719,67.98162822,NA,7.5,7.5,NA
护士,hu4shi5,nurse,2,7.284474192,0.918264949,3.862415768,3.1351,9.304347826,10,7,3,NA,hu4,shi4,NA,23,13,NA,548.4846967,364.3910799,NA,1258.857226,18835.466,NA,7,7,NA
交警,jiao1jing3,traffic police,2,4.309715149,0.725071223,3.634503567,1.5051,NA,1,6,19,NA,jiao1,jing3,NA,14,12,NA,1093.708724,141.7809312,NA,2072.178649,547.6067983,NA,7,9,NA
胶卷,jiao1juan3,film,2,2.80004086,0.579788266,3.447268798,1.9031,NA,1,10,8,NA,jiao1,juan3,NA,14,4,NA,70.30654541,175.9913881,NA,2072.178649,55.63857825,NA,9,8.5,NA
脚印,jiao3yin4,footprint,2,2.659902319,0.563469494,3.424977551,2.382,6.772727273,0,11,5,NA,jiao3,yin4,NA,15,7,NA,175.0643812,409.4672956,NA,564.1684697,6372.736611,NA,7,8.5,NA
轿车,jiao4che1,car,2,21.86525245,1.359176001,4.33973588,2.6375,8.45,1,10,4,NA,jiao4,che1,NA,14,12,NA,44.22118976,1045.048261,NA,1683.873078,1045.020679,NA,7.5,6.5,NA
教堂,jiao4tang2,church,2,18.19617064,1.283214602,4.259965029,3.3377,10,5,11,11,NA,jiao4,tang2,NA,14,22,NA,1576.708253,215.0481133,NA,2072.178649,456.8368107,NA,7,8,NA
精灵,jing1ling2,demon,2,3.146747252,0.617707566,3.497950744,2.7642,8.95,3,14,7,NA,jing1,ling2,NA,10,13,NA,814.6655158,225.9266538,NA,6299.095397,456.9908634,NA,8,7.5,NA
鲸鱼,jing1yu2,whale,2,0.866310984,0.270984012,2.938093083,2.2989,9.703703704,2,16,8,NA,jing1,yu2,NA,10,8,NA,1.354856259,156.4488983,NA,6299.095397,4175.387138,NA,NA,6.5,NA
井盖,jing3gai4,well cover,2,0.619703551,0.209435534,2.792784557,NA,9.473684211,NA,4,11,NA,jing3,gai4,NA,NA,NA,NA,79.95804628,134.857979,NA,547.6067983,358.5982957,NA,7,7.5,NA
静脉,jing4mai4,vein,2,6.136066143,0.853458867,3.787917744,2.179,13,6,14,9,NA,jing4,mai4,NA,11,20,NA,213.5082593,44.90332692,NA,1155.543045,349.2999724,NA,7,10,NA
镜子,jing4zi5,mirror,2,8.057056151,0.95698706,3.906188748,2.6222,7.8,3,16,3,NA,jing4,zi,NA,11,6,NA,84.36704723,3310.14391,NA,1155.543045,825.9382697,NA,7,6.5,NA
拉链,la1lian4,zipper,2,0.794421733,0.25392452,2.900511615,2.1614,5.2,3,8,12,NA,la1,lian4,NA,23,8,NA,691.3298695,64.44245305,NA,707.4145831,458.0530868,NA,7.5,9.5,NA
喇叭,la3ba5,horn,2,4.875729259,0.769061776,3.688083939,2.1875,9.368421053,3,12,5,NA,la3,ba1,NA,22,13,NA,9.102562084,10.58792585,NA,707.4145831,830.2113814,NA,8.5,8.5,NA
腊梅,la4mei2,wintersweet,2,0.471375094,0.167723401,2.67416754,NA,NA,NA,12,11,NA,la4,mei2,NA,NA,NA,NA,41.55722214,15.70059097,NA,83.55372984,1770.88122,NA,7.5,8,NA
蜡烛,la4zhu2,candle,2,5.064097299,0.782766161,3.704543384,2.5065,6.761904762,0,14,10,NA,la4,zhu2,NA,22,21,NA,17.8539648,8.337007753,NA,4905.808714,320.0925274,NA,8.5,8.5,NA
辣椒,la4jiao1,pepper,2,3.632682195,0.665832508,3.560299493,2.1461,6.052631579,0,14,12,NA,la4,jiao1,NA,22,14,NA,23.7335297,8.469533415,NA,83.55372984,2072.178649,NA,8,9.5,NA
罗盘,luo2pan2,compass,2,1.186627651,0.339774836,3.074610694,1.2304,NA,0,8,11,NA,luo2,pan2,NA,16,19,NA,473.4771903,162.829639,NA,3.331304962,165.9510556,NA,9.5,8.5,NA
萝卜,luo2bo5,carrot,2,7.431892657,0.925925069,3.871115911,1.8062,5.545454545,0,11,2,NA,luo2,bo,NA,16,13,NA,10.40427353,13.12474956,NA,555.4426303,19.33,NA,8.5,8.5,NA
螺丝,luo2si1,screw,2,1.441424999,0.387643387,3.159029449,1.8692,8.352941176,1,17,5,NA,luo2,si1,NA,16,10,NA,28.94844813,145.3947782,NA,555.4426303,2878.815262,NA,8,8,NA
骆驼,luo4tuo5,camel,2,4.573612403,0.746136764,3.660309068,1.9868,8.14285714,0,9,8,NA,luo4,tuo2,NA,18,13,NA,3.899752598,13.42612771,NA,593.5185311,27.42944841,NA,7.5,7.5,NA
落日,luo4ri4,sunset,2,1.778121495,0.443751235,3.250146944,1.4624,10.38461538,2,12,4,NA,luo4,ri4,NA,18,8,NA,420.5456336,3215.388735,NA,83.55372984,3215.388735,NA,7,6.5,NA
麻花,ma2hua1,fried dough twist,2,0.592403835,0.202053215,2.773247778,1.1139,NA,1,11,7,NA,ma2,hua1,NA,19,7,NA,127.3517793,618.8457324,NA,166.0748359,617.5130758,NA,9,6.5,NA
麻雀,ma2que4,sparrow,2,2.699941902,0.568194905,3.431464079,1.5315,7.6875,0,11,11,NA,ma2,que4,NA,19,7,NA,127.3517793,9.858698348,NA,166.0748359,72.08588742,NA,9,7.5,NA
马蹄,ma3ti2,waternut,2,2.819150662,0.581966791,3.450221759,1,NA,0,3,16,NA,ma3,ti2,NA,21,14,NA,1015.390094,16.34101955,NA,1130.365187,7236.127844,NA,6.5,8,NA
马桶,ma3tong3,toilet,2,1.499664393,0.397881704,3.176220838,2.4265,9.65,2,3,11,NA,ma3,tong3,NA,21,17,NA,1015.390094,18.28046871,NA,1130.365187,1221.666623,NA,6.5,8,NA
蚂蚁,ma3yi3,ant,2,4.008508284,0.699708396,3.603044675,2.1004,6.888888889,0,9,9,NA,ma3,yi3,NA,21,7,NA,3.669682667,4.364601493,NA,166.0748359,5722.290572,NA,7,7,NA
狮子,shi1zi5,lion,2,7.112485981,0.909153959,3.852040294,2.3201,6.65,5,9,3,NA,shi1,zi,NA,12,6,NA,10.72246967,3310.14391,NA,2154.6715,825.9382697,NA,9,6.5,NA
石头,shi2tou5,stone,2,15.470749,1.216713349,4.189500194,2.8645,6.111111111,2,5,5,NA,shi2,tou2,NA,10,9,NA,518.2170464,1185.230139,NA,1771.029891,1183.902864,NA,6.5,6.5,NA
食指,shi2zhi3,forefinger,2,2.239486694,0.5104762,3.350288231,1.699,7.772727273,4,9,9,NA,shi2,zhi3,NA,10,12,NA,418.3384423,953.2093227,NA,9332.481998,5144.921335,NA,7,7.5,NA
士兵,shi4bing1,soldier,2,29.77034018,1.488132298,4.473760382,2.7853,8.9,1,3,7,NA,shi4,bing1,NA,13,11,NA,364.3910799,545.7184758,NA,18835.466,675.7409499,NA,7,9.5,NA
试管,shi4guan3,test tube,2,1.294006533,0.36059465,3.112205082,1.3424,NA,3,8,14,NA,shi4,guan3,NA,13,14,NA,330.642781,1158.543372,NA,18835.466,1449.496399,NA,8,8,NA
书包,shu1bao1,schoolbag,2,3.12490748,0.615414212,3.494926924,1.8129,7.380952381,2,4,5,NA,shu1,bao1,NA,22,22,NA,1195.624994,585.9659138,NA,1634.862801,706.3032511,NA,6.5,6.5,NA
梳子,shu1zi5,comb,2,0.837191287,0.264154377,2.923259813,1.716,NA,4,11,3,NA,shu1,zi,NA,22,6,NA,14.94176383,3310.14391,NA,1634.862801,825.9382697,NA,7,6.5,NA
鼠标,shu3biao1,mouse,2,5.021327744,0.779692267,3.700860576,1.1761,12.3,0,13,9,NA,shu3,biao1,NA,24,10,NA,18.16207015,719.78656,NA,562.371637,737.896158,NA,7.5,9.5,NA
树枝,shu4zhi1,branch,2,4.953988445,0.774807987,3.694998066,2.1239,7.35,3,9,8,NA,shu4,zhi1,NA,25,12,NA,256.7869696,57.28875819,NA,2515.655258,2585.364429,NA,6.5,7.5,NA
竖琴,shu4qin2,harp,2,0.811711553,0.258089054,2.909851641,1.3802,12.68181818,3,9,12,NA,shu4,qin2,NA,25,11,NA,16.09211349,74.83259949,NA,2515.655258,264.2696241,NA,8,7.5,NA
相机,xiang4ji1,camera,2,14.33144085,1.185582972,4.15628074,2.5079,8.7,0,9,6,NA,xiang1,ji1,NA,9,14,NA,1547.532426,2181.919987,NA,2292.646187,4380.783078,NA,7,7,NA
香蕉,xiang1jiao1,banana,2,3.388804733,0.642346259,3.530126459,2.4048,6.782608696,2,9,15,NA,xiang1,jiao1,NA,8,14,NA,343.8644021,3.590301814,NA,2292.646187,2072.178649,NA,7,9,NA
箱子,xiang1zi5,case,2,5.984097724,0.844110308,3.777028024,2.8035,6.173913043,2,15,3,NA,xiang1,zi,NA,8,6,NA,123.1385396,3310.14391,NA,2292.646187,825.9382697,NA,9,6.5,NA
项链,xiang4lian4,necklace,2,2.93653944,0.595114607,3.467933708,2.4757,8.857142857,2,9,12,NA,xiang4,lian4,NA,9,8,NA,521.2590822,64.44245305,NA,2986.348737,458.0530868,NA,9.5,9.5,NA
橡皮,xiang4pi2,eraser,2,2.355055491,0.525699708,3.372132233,1.7924,6.826086957,1,15,5,NA,xiang4,pi2,NA,9,15,NA,11.2169182,264.2756786,NA,2986.348737,336.007043,NA,8,6.5,NA
烟囱,yan1cong1,chimney,2,2.531593654,0.547970728,3.403513389,1.8808,8.714285714,0,10,7,NA,yan1,cong1,NA,23,14,NA,166.3755413,1.871504524,NA,196.0700349,139.0732368,NA,7.5,8,NA
烟斗,yan1dou3,smoking pipe,2,1.895510274,0.46172511,3.277897897,1.6628,NA,0,10,4,NA,yan1,dou4,NA,23,16,NA,166.3755413,436.5314575,NA,196.0700349,259.0129971,NA,7.5,7,NA
颜料,yan2liao4,paint,2,2.618042754,0.558473695,3.418090972,1.7782,9.1,1,15,10,NA,yan2,liao4,NA,18,13,NA,34.22391127,665.1772419,NA,2451.203387,244.3793386,NA,7,7.5,NA
眼镜,yan3jing4,glasses,2,11.88811628,1.110189446,4.075109596,2.6964,9.222222222,2,11,16,NA,yan3,jing4,NA,24,11,NA,599.6900561,84.36704723,NA,251.8323935,1155.543045,NA,7,7,NA
燕子,yan4zi5,swallow,2,3.473433852,0.65064102,3.540836106,1.1761,6.285714286,8,16,3,NA,yan4,zi,NA,24,6,NA,56.17675352,3310.14391,NA,196.0700349,825.9382697,NA,7,6.5,NA
鱼缸,yu2gang1,fishbowl,2,0.557824195,0.192518445,2.747168553,1.6232,7.8,4,8,9,NA,yu2,gang1,NA,8,24,NA,156.4488983,12.26366911,NA,4175.387138,491.6607874,NA,6.5,9,NA
渔夫,yu2fu1,fisherman,2,1.046489109,0.311009438,3.020075506,1.8573,NA,0,11,4,NA,yu2,fu1,NA,8,20,NA,20.11833728,257.6399774,NA,4175.387138,237.0964817,NA,7.5,8,NA
羽毛,yu3mao2,feathre,2,9.73780866,1.030915661,3.988465129,2.1673,8,0,6,4,NA,yu3,mao2,NA,6,21,NA,18.88793405,375.7210149,NA,1258.857226,453.401907,NA,7,7,NA
雨伞,yu3san3,umbrella,2,1.251236979,0.352421214,3.097618616,1.7634,6,1,8,6,NA,yu3,san3,NA,6,22,NA,170.6082899,20.70225745,NA,1817.254438,177.8837469,NA,6.5,6.5,NA
玉米,yu4mi3,corn,2,10.78975771,1.07150488,4.033011628,2.5809,5.789473684,2,5,6,NA,yu4,mi3,NA,6,16,NA,145.0792729,411.9038841,NA,1980.039678,416.5907181,NA,7,7,NA
太阳,tai4yang2,sunset,2,52.94233904,1.731929774,4.723773899,2.8943,5.952380952,0,4,6,NA,tai4,yang2,NA,20,17,NA,803.1835462,393.2823469,NA,5834.917876,937.9237994,NA,7,7,NA
坦克,tan3ke4,tank,2,18.43276817,1.28853467,4.26557531,2.0899,7.842105263,2,8,7,NA,tan3,ke4,NA,24,17,NA,66.52990041,940.5568219,NA,78.10335973,1888.597644,NA,8,8,NA
海螺,hai3luo2,sea snail,2,0.646093276,0.216454441,2.810869783,0.8451,NA,1,10,17,NA,hai3,luo2,NA,17,16,NA,1301.035367,28.94844813,NA,1301.035367,555.4426303,NA,6.5,8,NA
冰箱,bing1xiang1,fridger,2,13.47604976,1.160650067,4.129555241,2.7412,9.954545455,2,6,15,NA,bing1,xiang1,NA,11,8,NA,129.3571549,123.1385396,NA,675.7409499,2292.646187,NA,7,9,NA
花瓶,hua1ping2,vase,2,2.064768512,0.486397677,3.31502604,2.0828,8.318181818,0,7,10,NA,hua1,ping2,NA,7,11,NA,618.8457324,43.78459506,NA,617.5130758,2124.169744,NA,6.5,9.5,NA
车轮,che1lun2,wheel,2,4.867539344,0.76845601,3.687353964,1.9731,7.263157895,0,4,8,NA,che1,lun2,NA,12,7,NA,1045.048261,222.7137474,NA,1045.020679,333.7345979,NA,6.5,7.5,NA
邮票,you2piao4,stamp,2,10.70876856,1.068511221,4.029739745,1.9243,8.421052632,2,7,11,NA,you2,piao4,NA,12,12,NA,155.6221266,274.2433574,NA,2521.053156,81.82282361,NA,8,7,NA
足球,zu2qiu2,football,2,50.39163558,1.71089244,4.702329607,2.5551,6.761904762,0,7,11,NA,zu2,qiu2,NA,19,6,NA,537.9243523,600.3237575,NA,2689.472418,1531.866816,NA,6.5,7,NA
拖鞋,tuo1xie2,slippers,2,1.465994744,0.391992147,3.16636522,2.0453,6.473684211,2,8,15,NA,tuo1,xie2,NA,17,9,NA,56.19895326,56.17069905,NA,137.2104776,58.66715962,NA,8,7.5,NA
天平,tian1ping2,balance,2,2.755451324,0.574662137,3.440299456,1.4314,11.5,4,4,5,NA,tian1,ping2,NA,7,11,NA,2222.340314,1585.080915,NA,2271.771713,28.24949299,NA,6.5,7,NA
戒指,jie4zhi5,ring,2,4.429833899,0.734786545,3.646439957,2.8069,9.681818182,4,7,9,NA,jie4,zhi3,NA,13,12,NA,54.98940432,953.2093227,NA,1595.216773,5144.921335,NA,8.5,7.5,NA
钉子,ding1zi5,nail,2,2.760911268,0.575293087,3.441158878,2.143,5.555555556,4,7,3,NA,ding1,zi,NA,11,6,NA,18.67199122,3310.14391,NA,157.0092733,825.9382697,NA,7.5,6.5,NA
毛笔,mao2bi3,writing brush,2,1.799961268,0.447152024,3.255445977,0.4771,7.904761905,0,4,10,NA,mao2,bi3,NA,21,15,NA,375.7210149,226.9518777,NA,453.401907,1366.046941,NA,7,6.5,NA
台灯,tai2deng1,lamp,2,1.27034678,0.356092198,3.104196588,1.6335,NA,1,5,6,NA,tai2,deng1,NA,13,20,NA,754.7228808,134.7880162,NA,1147.010949,361.5986229,NA,6.5,6.5,NA
拐杖,guai3zhang4,walking stick,2,1.824531012,0.450946348,3.261331111,2.0828,8.65,1,8,7,NA,guai3,zhang4,NA,7,23,NA,18.13381594,3.940115744,NA,18.13381594,350.7792817,NA,10.5,11,NA
栅栏,zha4lan5,fence,2,3.360595027,0.639545755,3.526497073,2.1399,10.5,0,9,9,NA,zha4,lan2,NA,21,18,NA,4.751414973,60.86695106,NA,738.7384023,387.5043625,NA,12,9,NA
信封,xin4feng1,envelope,2,4.405264155,0.732816923,3.644024967,2.3502,8.782608696,1,9,9,NA,xin4,feng1,NA,9,21,NA,1287.254044,243.652802,NA,2075.481027,34.84886731,NA,7,7.5,NA
夹子,jia1zi5,clip,2,0.96185999,0.29266801,2.98348585,1.699,NA,4,6,3,NA,jia1,zi,NA,7,6,NA,48.52995556,3310.14391,NA,9.082380511,825.9382697,NA,7,6.5,NA
皇冠,huang2guan1,crown,2,1.361345833,0.373159597,3.134221983,1.9823,9.952380952,0,9,9,NA,huang2,guan1,NA,7,14,NA,112.7147572,50.64229352,NA,535.1924401,3574.263518,NA,10.5,10,NA
算盘,suan4pan2,abacus,2,2.487004118,0.54245246,3.395798693,1.4914,10.15,1,14,11,NA,suan4,pan2,NA,10,19,NA,577.0288407,162.829639,NA,584.8532365,165.9510556,NA,8,8.5,NA
包子,bao1zi5,steamed stuffed bun,2,2.108448058,0.492543615,3.324113614,0.9031,7.57894737,8,5,3,NA,bao1,zi,NA,22,6,NA,585.9659138,3310.14391,NA,706.3032511,825.9382697,NA,6.5,6.5,NA
背心,bei4xin1,vest,2,3.516203407,0.654773494,3.546149681,2.0128,7,3,9,4,NA,bei4,xin1,NA,10,9,NA,200.4790359,2292.523752,NA,273.1575888,4624.09683,NA,7,6.5,NA
鼻子,bi2zi5,nose,2,12.9819249,1.145566965,4.113332844,2.945,4.909090909,8,14,3,NA,bi2,zi,NA,15,6,NA,57.18448673,3310.14391,NA,57.58879091,825.9382697,NA,7,6.5,NA
菠萝,bo1luo2,pineapple,2,1.13293821,0.328978274,3.054518225,1.8921,6.636363636,2,11,11,NA,bo1,luo2,NA,17,16,NA,1.819032435,10.40427353,NA,668.4385841,555.4426303,NA,8,8.5,NA
草莓,cao3mei2,strawberry,2,1.812701135,0.449123589,3.258507481,2.2504,6.0625,2,9,10,NA,cao3,mei2,NA,22,8,NA,264.5562025,1.340056439,NA,264.5562025,1770.88122,NA,6.5,NA,NA
大象,da4xiang4,elephant,2,2.666272253,0.564224712,3.426016001,2.2672,8.086956522,4,3,11,NA,da4,xiang4,NA,20,9,NA,6677.88132,739.436012,NA,6649.994423,2986.348737,NA,6.5,7,NA
大衣,da4yi1,coat,2,6.839488822,0.894287745,3.835044733,2.3201,11.47619048,3,3,6,NA,da4,yi1,NA,20,9,NA,6677.88132,135.6450603,NA,6649.994423,13760.09507,NA,6.5,6.5,NA
袋鼠,dai4shu3,kangaroo,2,0.662473106,0.220754628,2.821727711,1.6021,9.851851852,2,11,13,NA,dai4,shu3,NA,20,24,NA,70.87230217,18.16207015,NA,3264.117142,562.371637,NA,7.5,7.5,NA
凳子,deng4zi5,stool,2,2.245856628,0.511329333,3.351521272,2.0212,7.714285714,2,14,3,NA,deng4,zi,NA,17,6,NA,5.937418739,3310.14391,NA,64.52587022,825.9382697,NA,8.5,6.5,NA
电脑,dian4o3,computer,2,78.63774163,1.901118936,4.895599368,3.081,10.56521739,0,5,10,NA,dian4,o3,NA,8,22,NA,2172.846352,311.4359781,NA,2533.81531,357.0422964,NA,7,7.5,NA
电钻,dian4zuan4,electric drill,2,0.161978314,0.0652,2.211853213,1.3424,NA,0,5,10,NA,dian4,zuan1,NA,8,11,NA,2172.846352,52.24740129,NA,2533.81531,6.471557701,NA,7,8,NA
鳄鱼,e4yu2,alligator,2,2.019268986,0.479901806,3.305353157,2.0969,10.55,3,17,8,NA,e4,yu2,NA,7,8,NA,4.290602392,156.4488983,NA,241.6306084,4175.387138,NA,9,6.5,NA
耳朵,er3duo5,ear,2,13.12206344,1.149898158,4.117995559,2.9004,6.052631579,0,6,6,NA,er3,duo3,NA,6,13,NA,159.6806409,43.20202033,NA,418.9337987,62.50838565,NA,6.5,7,NA
耳机,er3ji1,earphone,2,1.727162026,0.435710941,3.237525147,2.1072,10.05555556,1,6,6,NA,er3,ji1,NA,6,14,NA,159.6806409,2181.919987,NA,418.9337987,4380.783078,NA,6.5,7,NA
二胡,er4hu2,urheen,2,1.112918418,0.324882729,3.0467816,NA,8.684210526,NA,2,9,NA,er4,hu2,NA,NA,NA,NA,1120.07864,164.7778335,NA,1123.505471,508.6388719,NA,6.5,7.5,NA
飞机,fei1ji1,plane,2,75.91050001,1.885985635,4.880270368,3.2084,8.95,1,3,6,NA,fei1,ji1,NA,8,14,NA,403.1544996,2181.919987,NA,1112.873818,4380.783078,NA,6.5,7,NA
斧子,fu3zi5,axe,2,0.809891572,0.257652558,2.908877886,1.8451,NA,5,8,3,NA,fu3,zi,NA,22,6,NA,9.643428237,3310.14391,NA,547.0928409,825.9382697,NA,8.5,6.5,NA
钢琴,gang1qin2,pinao,2,11.12190426,1.083570849,4.046177994,2.4969,12,0,9,12,NA,gang1,qin2,NA,24,11,NA,139.8233186,74.83259949,NA,491.6607874,264.2696241,NA,7.5,7.5,NA
柜子,gui4zi5,cabinet,2,1.66528267,0.425743275,3.221688527,2.3856,7.125,5,8,3,NA,gui4,zi,NA,13,6,NA,21.07898014,3310.14391,NA,335.9922432,825.9382697,NA,10.5,6.5,NA
